LATITUDE,LONGITUDE,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,125,150,175,200,225,250,275,300,325,350,375,400,425,450,475,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850,1900,1950,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500
-77.5,-177.5,346.32,342.609,341.147,339.535,337.971,335.296,332.851,328.797,324.406,320.616,317.22,314.114,310.845,307.767,303.934,302.017,300.093,298.162,296.247,294.348,290.068,280.129,278.543,276.853,273.605,274.373,279.471,280.933,280.518,281.847,283.953,284.349,284.523,283.88,284.006,283.463,283.952,283.101,284.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,-172.5,368.593,364.214,359.649,357.415,354.574,349.127,344.395,339.525,333.962,329.986,326.105,322.359,318.379,315.22,310.937,307.268,303.284,300.291,299.935,297.01,297.113,290.997,282.929,274.995,270.738,265.173,270.875,270.206,270.984,272.319,267.393,274.259,265.233,266.406,268.275,269.26,262.426,232.728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,-167.5,354.892,351.334,350.374,350.391,351.408,348.447,347.093,342.116,338.247,334.412,329.631,323.019,317.131,313.046,309.7,303.75,299.365,296.809,290.75,286.911,286.483,278.668,268.344,264.788,265.699,271.433,259.898,259.147,253.131,250.088,248.525,247.206,240.56,238.528,231.225,228.787,218.954,199.69,199.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,-162.5,353.291,351.55,354.321,352.445,349.194,344.261,340.248,335.47,329.39,324.74,319.768,317.751,316.36,315.854,314.205,310.78,309.221,307.035,304.032,300.521,297.92,296.01,290.324,285.966,283.928,286.867,276.575,270.545,265.236,260.658,258.237,255.112,256.654,253.071,255.287,258.954,254.324,245.414,233.4,209.284,198.172,200.605,203.617,,197.819,197.292,199.191,200.943,204.385,208.332,201.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,-157.5,349.095,350.55,347.136,346.323,344.614,337.411,332.227,325.137,318.016,311.552,308.393,304.131,301.078,297.466,291.935,289.634,290.168,289.137,287.775,287.017,285.476,286.169,285.806,284.796,282.399,281.778,280.038,277.043,269.558,265.655,259.045,249.153,237.03,228.377,227.123,224.816,214.565,221.655,210.404,216.045,203.958,203.698,198.279,,196.534,198.471,197.524,199.027,201.351,202.724,201.416,199.422,202.266,202.925,205.311,205.51,209.623,204.182,204.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,-152.5,348.699,346.304,345.62,343.959,341.753,339.717,337.439,334.169,329.822,326.286,322.441,317.996,313.122,307.803,302.973,299.248,296.975,295.309,293.86,292.514,292.374,285.659,283.463,282.409,282.078,281.644,278.61,271.67,262.286,252.15,241.938,232.324,224.365,221.157,212.949,205.424,208.347,185.785,187.104,188.946,189.765,191.143,191.32,192.408,190.787,191.305,192.145,193.101,194.309,194.942,197.225,198.588,197.743,197.939,199.234,201.273,201.04,201.794,202.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,-47.5,318.061,317.925,317.789,317.653,318.625,320.079,321.314,322.363,323.431,324.529,324.897,324.893,324.689,323.493,321.551,320.057,319.428,319.534,320.649,321.243,321.799,321.911,321.371,319.616,317.72,315.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,-42.5,343.114,338.424,335.101,334.862,334.785,334.457,334.359,334.016,333.538,332.853,331.698,330.115,328.006,325.518,323.421,322.175,319.978,319.656,319.29,318.836,319.193,315.619,313.63,313.077,312.421,,313.177,313.431,313.547,313.372,313.208,313.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-77.5,-37.5,347.377,345.076,345.845,346.397,346.546,346.325,345.526,345.337,344.54,344.156,344.871,344.13,343.589,343.162,342.654,341.697,340.334,338.754,337.032,335.835,334.035,327.183,323.144,322.755,320.274,,320.91,320.095,319.21,318.382,317.658,317.439,316.176,315.873,315.55,314.959,314.479,313.439,314.494,312.934,311.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
