A compendium of geochemical information from the Saanich Inlet water column. ScientificData. Nature,,,,,,,,,,,,,
"Authors: Monica Torres Beltran, Alyse K. Hawely, David Capelle, Elena Zaikova, David A. Walsh, Andreas Mueller ",,,,,,,,,,,,,
"Melanie Scofield, Sam Kheirandish, Chris Payne, Larysa Pakhomova, Maya Bathia, Olena Shevchuk, Esther A. Gies",,,,,,,,,,,,,
"Diane Fairley, Tijana Glavina del Rio, Susannah Tringe, Frank Whitney, Philippe D. Tortell, Steven J. Hallam",,,,,,,,,,,,,
"Affiliations:Department of Microbiology and Immunology, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Earth, Ocean and Atmospheric Sciences, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Department of Biology, Concordia University, Montreal, QC.Canada",,,,,,,,,,,,,
"Department of Energy Joint Genome Institute, Walnut Creek, CA.USA",,,,,,,,,,,,,
"Institute of Ocean Sciences, Fisheries and Oceans Canada, Sidney, BC. Canada",,,,,,,,,,,,,
"Department of Botany, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Genome Science and Technology Program, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
,,,,,,,,,,,,,
Saanich Inlet time-series chemical dataset,,,,,,,,,,,,,
Data derived from seawater samples taken as described in manuscript methods,,,,,,,,,,,,,
Key to the data fields is described on Saanich_TimeSeries_CTD_dataset_README.csv file,,,,,,,,,,,,,
,,,,,,,,,,,,,
Longitude,Latitude,Cruise,Date,Pressure,Temperature ,Conductivity,Fluorescence,Beam Transmission,PAR/Irradiance,"Oxygen, SBE",Oxygen ,Salinity,Density
-123.505,48.59166667,18,2008-02-13,1,6.701,27.742,1.009,86.514,298,5.838,255.295,27.058,21.205
-123.505,48.59166667,18,2008-02-13,2,6.897,28.503,1.25,87.317,245,5.693,248.861,27.717,21.7
-123.505,48.59166667,18,2008-02-13,3,7.145,29.429,1.622,88.004,311,5.601,244.691,28.505,22.289
-123.505,48.59166667,18,2008-02-13,4,7.272,29.85,1.876,89.745,738,5.502,240.307,28.851,22.545
-123.505,48.59166667,18,2008-02-13,5,7.306,30.003,1.985,89.49,521,5.444,237.725,28.985,22.646
-123.505,48.59166667,18,2008-02-13,6,7.435,30.28,2.011,89.985,426,5.366,234.324,29.17,22.774
-123.505,48.59166667,18,2008-02-13,7,7.581,30.581,1.907,90.397,381,5.289,230.922,29.367,22.91
-123.505,48.59166667,18,2008-02-13,8,7.601,30.722,1.736,90.8,312,5.229,228.278,29.499,23.011
-123.505,48.59166667,18,2008-02-13,9,7.552,30.739,1.52,90.909,246,5.179,226.065,29.558,23.064
-123.505,48.59166667,18,2008-02-13,10,7.49,30.723,1.345,90.884,194,5.16,225.237,29.594,23.101
-123.505,48.59166667,18,2008-02-13,11,7.371,30.648,1.259,90.705,161,5.151,224.832,29.615,23.133
-123.505,48.59166667,18,2008-02-13,12,7.363,30.645,1.217,90.412,134,5.148,224.715,29.619,23.136
-123.505,48.59166667,18,2008-02-13,13,7.337,30.632,1.157,90.365,113,5.149,224.751,29.626,23.146
-123.505,48.59166667,18,2008-02-13,14,7.301,30.618,1.054,90.123,92.7,5.147,224.643,29.642,23.163
-123.505,48.59166667,18,2008-02-13,15,7.301,30.624,0.993,89.796,75.5,5.138,224.278,29.648,23.168
-123.505,48.59166667,18,2008-02-13,16,7.311,30.64,0.944,89.703,61.5,5.13,223.909,29.655,23.172
-123.505,48.59166667,18,2008-02-13,17,7.315,30.648,0.869,89.737,50.6,5.119,223.422,29.66,23.175
-123.505,48.59166667,18,2008-02-13,18,7.34,30.679,0.798,89.724,43.1,5.099,222.541,29.672,23.181
-123.505,48.59166667,18,2008-02-13,19,7.353,30.71,0.656,89.623,36.3,5.068,221.212,29.693,23.196
-123.505,48.59166667,18,2008-02-13,20,7.345,30.704,0.636,89.49,30.2,5.063,220.985,29.693,23.198
-123.505,48.59166667,18,2008-02-13,21,7.353,30.715,0.611,89.467,25.1,5.051,220.45,29.697,23.2
-123.505,48.59166667,18,2008-02-13,22,7.37,30.735,0.582,89.458,20.9,5.034,219.702,29.704,23.203
-123.505,48.59166667,18,2008-02-13,23,7.397,30.767,0.544,89.481,17.4,5.013,218.783,29.715,23.208
-123.505,48.59166667,18,2008-02-13,24,7.419,30.798,0.499,89.522,14.8,4.98,217.378,29.729,23.215
-123.505,48.59166667,18,2008-02-13,25,7.456,30.841,0.467,89.538,12.5,4.923,214.878,29.743,23.222
-123.505,48.59166667,18,2008-02-13,26,7.532,30.923,0.417,89.584,10.5,4.864,212.308,29.764,23.229
-123.505,48.59166667,18,2008-02-13,27,7.604,30.998,0.387,89.741,8.93,4.821,210.398,29.781,23.232
-123.505,48.59166667,18,2008-02-13,28,7.617,31.011,0.387,89.936,7.62,4.777,208.479,29.785,23.233
-123.505,48.59166667,18,2008-02-13,29,7.63,31.027,0.369,89.996,6.56,4.733,206.566,29.79,23.236
-123.505,48.59166667,18,2008-02-13,30,7.662,31.063,0.351,90.105,5.69,4.686,204.545,29.799,23.239
-123.505,48.59166667,18,2008-02-13,31,7.695,31.1,0.33,90.139,5,4.649,202.901,29.81,23.243
-123.505,48.59166667,18,2008-02-13,32,7.784,31.193,0.281,90.247,4.39,4.623,201.79,29.832,23.248
-123.505,48.59166667,18,2008-02-13,33,7.844,31.265,0.262,90.445,3.92,4.6,200.785,29.856,23.259
-123.505,48.59166667,18,2008-02-13,34,7.828,31.254,0.261,90.535,3.54,4.583,200.014,29.858,23.263
-123.505,48.59166667,18,2008-02-13,35,7.846,31.282,0.234,90.539,3.22,4.568,199.377,29.872,23.271
-123.505,48.59166667,18,2008-02-13,36,7.894,31.352,0.228,90.536,2.96,4.597,200.629,29.904,23.29
-123.505,48.59166667,18,2008-02-13,37,7.76,31.245,0.236,90.446,2.75,4.595,200.549,29.905,23.309
-123.505,48.59166667,18,2008-02-13,38,7.804,31.305,0.217,90.276,2.59,4.56,198.988,29.931,23.323
-123.505,48.59166667,18,2008-02-13,39,7.75,31.268,0.227,90.172,2.48,4.625,201.838,29.938,23.336
-123.505,48.59166667,18,2008-02-13,40,7.742,31.272,0.216,90.038,2.36,4.623,201.769,29.948,23.345
-123.505,48.59166667,18,2008-02-13,41,7.769,31.307,0.212,89.924,2.26,4.615,201.422,29.961,23.352
-123.505,48.59166667,18,2008-02-13,42,7.771,31.313,0.206,89.921,2.18,4.609,201.153,29.966,23.355
-123.505,48.59166667,18,2008-02-13,43,7.791,31.335,0.197,89.901,2.11,4.606,200.989,29.971,23.357
-123.505,48.59166667,18,2008-02-13,44,7.785,31.333,0.192,89.872,2.05,4.598,200.677,29.974,23.36
-123.505,48.59166667,18,2008-02-13,45,7.791,31.344,0.197,89.883,2,4.597,200.597,29.98,23.364
-123.505,48.59166667,18,2008-02-13,46,7.805,31.366,0.192,89.836,1.96,4.595,200.517,29.991,23.37
-123.505,48.59166667,18,2008-02-13,47,7.8,31.37,0.202,89.811,1.93,4.619,201.59,29.999,23.377
-123.505,48.59166667,18,2008-02-13,48,7.651,31.244,0.214,89.716,1.9,4.594,200.481,29.993,23.393
-123.505,48.59166667,18,2008-02-13,49,7.761,31.365,0.192,89.551,1.88,4.565,199.23,30.026,23.404
-123.505,48.59166667,18,2008-02-13,50,7.796,31.407,0.181,89.526,1.86,4.548,198.475,30.041,23.411
-123.505,48.59166667,18,2008-02-13,51,7.787,31.414,0.188,89.452,1.84,4.544,198.291,30.055,23.423
-123.505,48.59166667,18,2008-02-13,52,7.753,31.391,0.192,89.384,1.83,4.55,198.553,30.06,23.431
-123.505,48.59166667,18,2008-02-13,53,7.731,31.375,0.195,89.254,1.92,4.553,198.684,30.061,23.435
-123.505,48.59166667,18,2008-02-13,54,7.738,31.381,0.194,89.255,1.97,4.548,198.444,30.061,23.434
-123.505,48.59166667,18,2008-02-13,55,7.743,31.379,0.199,89.337,2.12,4.54,198.1,30.054,23.428
-123.505,48.59166667,18,2008-02-13,56,7.731,31.378,0.194,89.219,2.02,4.546,198.388,30.063,23.437
-123.505,48.59166667,18,2008-02-13,57,7.74,31.396,0.192,89.186,2,4.542,198.183,30.074,23.444
-123.505,48.59166667,18,2008-02-13,58,7.742,31.402,0.19,89.07,2,4.541,198.165,30.078,23.447
-123.505,48.59166667,18,2008-02-13,59,7.741,31.407,0.19,89.063,2,4.533,197.816,30.084,23.452
-123.505,48.59166667,18,2008-02-13,60,7.744,31.417,0.192,88.998,2,4.536,197.947,30.091,23.457
-123.505,48.59166667,18,2008-02-13,61,7.73,31.428,0.198,88.947,1.99,4.55,198.521,30.115,23.478
-123.505,48.59166667,18,2008-02-13,62,7.67,31.384,0.211,88.795,1.99,4.551,198.602,30.12,23.49
-123.505,48.59166667,18,2008-02-13,63,7.607,31.332,0.213,88.571,1.99,4.515,197.013,30.118,23.497
-123.505,48.59166667,18,2008-02-13,64,7.74,31.469,0.192,88.46,1.98,4.505,196.567,30.148,23.502
-123.505,48.59166667,18,2008-02-13,65,7.718,31.461,0.2,88.544,1.98,4.514,196.956,30.158,23.513
-123.505,48.59166667,18,2008-02-13,66,7.666,31.418,0.207,88.393,1.98,4.526,197.497,30.157,23.519
-123.505,48.59166667,18,2008-02-13,67,7.645,31.403,0.163,88.269,1.98,4.538,198.001,30.159,23.524
-123.505,48.59166667,18,2008-02-13,68,7.636,31.404,0.121,88.112,1.98,4.546,198.35,30.168,23.532
-123.505,48.59166667,18,2008-02-13,69,7.63,31.401,0.122,87.964,1.98,4.572,199.479,30.169,23.534
-123.505,48.59166667,18,2008-02-13,70,7.601,31.378,0.124,87.925,1.97,4.584,199.996,30.169,23.538
-123.505,48.59166667,18,2008-02-13,71,7.55,31.341,0.139,87.821,1.98,4.581,199.865,30.174,23.548
-123.505,48.59166667,18,2008-02-13,72,7.55,31.359,0.172,87.648,1.97,4.546,198.365,30.193,23.563
-123.505,48.59166667,18,2008-02-13,73,7.541,31.374,0.195,87.14,1.98,4.507,196.648,30.216,23.582
-123.505,48.59166667,18,2008-02-13,74,7.561,31.404,0.196,86.776,1.98,4.472,195.116,30.231,23.592
-123.505,48.59166667,18,2008-02-13,75,7.563,31.417,0.181,86.462,1.98,4.441,193.762,30.242,23.6
-123.505,48.59166667,18,2008-02-13,76,7.57,31.435,0.169,86.163,1.98,4.387,191.39,30.254,23.608
-123.505,48.59166667,18,2008-02-13,77,7.591,31.464,0.168,86.142,1.99,4.329,188.866,30.267,23.616
-123.505,48.59166667,18,2008-02-13,78,7.629,31.521,0.164,86.104,1.98,4.275,186.494,30.294,23.632
-123.505,48.59166667,18,2008-02-13,79,7.664,31.565,0.169,85.94,1.98,4.215,183.902,30.309,23.64
-123.505,48.59166667,18,2008-02-13,80,7.684,31.59,0.157,85.97,1.98,4.148,180.961,30.318,23.644
-123.505,48.59166667,18,2008-02-13,81,7.711,31.621,0.153,85.971,1.98,4.038,176.174,30.328,23.647
-123.505,48.59166667,18,2008-02-13,82,7.752,31.673,0.215,85.971,1.99,3.887,169.586,30.346,23.656
-123.505,48.59166667,18,2008-02-13,83,7.89,31.833,0.203,85.874,2,3.746,163.411,30.396,23.676
-123.505,48.59166667,18,2008-02-13,84,8.012,31.968,0.185,86.314,2.01,3.626,158.203,30.432,23.688
-123.505,48.59166667,18,2008-02-13,85,8.036,31.996,0.189,86.731,1.99,3.448,150.404,30.44,23.691
-123.505,48.59166667,18,2008-02-13,86,8.08,32.047,0.169,86.924,1.98,3.247,141.645,30.455,23.696
-123.505,48.59166667,18,2008-02-13,87,8.269,32.267,0.153,87.344,1.98,3.08,134.344,30.521,23.722
-123.505,48.59166667,18,2008-02-13,88,8.38,32.394,0.131,87.998,1.98,2.961,129.162,30.557,23.734
-123.505,48.59166667,18,2008-02-13,89,8.419,32.442,0.135,88.357,1.98,2.876,125.47,30.573,23.741
-123.505,48.59166667,18,2008-02-13,90,8.425,32.45,0.147,88.422,1.97,2.807,122.448,30.577,23.743
-123.505,48.59166667,18,2008-02-13,91,8.44,32.47,0.139,88.441,1.99,2.724,118.828,30.584,23.746
-123.505,48.59166667,18,2008-02-13,92,8.443,32.484,0.136,88.458,2,2.649,115.572,30.594,23.754
-123.505,48.59166667,18,2008-02-13,93,8.457,32.509,0.139,88.409,2.02,2.601,113.474,30.609,23.763
-123.505,48.59166667,18,2008-02-13,94,8.463,32.519,0.135,88.285,1.99,2.567,111.971,30.613,23.766
-123.505,48.59166667,18,2008-02-13,95,8.479,32.544,0.142,88.2,1.99,2.543,110.943,30.625,23.773
-123.505,48.59166667,18,2008-02-13,96,8.487,32.564,0.139,88.183,1.97,2.514,109.666,30.638,23.782
-123.505,48.59166667,18,2008-02-13,97,8.468,32.558,0.146,87.805,1.98,2.482,108.289,30.649,23.793
-123.505,48.59166667,18,2008-02-13,98,8.485,32.587,0.15,87.51,1.98,2.427,105.865,30.663,23.802
-123.505,48.59166667,18,2008-02-13,99,8.495,32.6,0.142,87.439,1.98,2.363,103.065,30.668,23.805
-123.505,48.59166667,18,2008-02-13,100,8.54,32.658,0.139,87.438,1.98,2.288,99.786,30.689,23.814
-123.505,48.59166667,18,2008-02-13,101,8.553,32.684,0.158,87.229,1.98,2.223,96.968,30.704,23.824
-123.505,48.59166667,18,2008-02-13,102,8.587,32.737,0.157,86.9,1.98,2.155,94.007,30.729,23.839
-123.505,48.59166667,18,2008-02-13,103,8.583,32.741,0.157,84.758,1.98,2.064,90.038,30.736,23.845
-123.505,48.59166667,18,2008-02-13,104,8.621,32.789,0.153,83.93,1.99,1.951,85.108,30.753,23.853
-123.505,48.59166667,18,2008-02-13,105,8.678,32.861,0.133,84.602,1.99,1.757,76.631,30.777,23.863
-123.505,48.59166667,18,2008-02-13,106,8.734,32.931,0.129,85.259,1.99,1.556,67.852,30.801,23.874
-123.505,48.59166667,18,2008-02-13,107,8.931,33.19,0.121,85.927,1.98,1.37,59.755,30.898,23.92
-123.505,48.59166667,18,2008-02-13,108,9,33.282,0.116,87.004,1.99,1.2,52.33,30.932,23.937
-123.505,48.59166667,18,2008-02-13,109,9.059,33.366,0.108,87.637,1.98,1.049,45.772,30.966,23.954
-123.505,48.59166667,18,2008-02-13,110,9.124,33.457,0.1,87.94,2,0.909,39.637,31.003,23.973
-123.505,48.59166667,18,2008-02-13,111,9.179,33.535,0.089,88.726,2,0.786,34.268,31.035,23.99
-123.505,48.59166667,18,2008-02-13,112,9.227,33.603,0.086,89.173,1.98,0.7,30.539,31.063,24.004
-123.505,48.59166667,18,2008-02-13,113,9.269,33.663,0.086,89.756,2,0.633,27.585,31.087,24.016
-123.505,48.59166667,18,2008-02-13,114,9.278,33.677,0.086,90.075,2,0.567,24.748,31.094,24.02
-123.505,48.59166667,18,2008-02-13,115,9.287,33.692,0.086,90.216,1.99,0.495,21.572,31.1,24.024
-123.505,48.59166667,18,2008-02-13,116,9.315,33.738,0.086,90.328,1.98,0.415,18.096,31.123,24.037
-123.505,48.59166667,18,2008-02-13,117,9.348,33.793,0.083,90.605,1.99,0.349,15.219,31.15,24.053
-123.505,48.59166667,18,2008-02-13,118,9.392,33.861,0.076,90.898,1.99,0.297,12.969,31.181,24.071
-123.505,48.59166667,18,2008-02-13,119,9.411,33.892,0.068,91.327,1.99,0.255,11.113,31.196,24.079
-123.505,48.59166667,18,2008-02-13,120,9.423,33.92,0.071,91.436,1.96,0.221,9.637,31.214,24.091
-123.505,48.59166667,18,2008-02-13,121,9.431,33.937,0.075,91.558,1.99,0.195,8.513,31.223,24.097
-123.505,48.59166667,18,2008-02-13,122,9.45,33.974,0.068,91.666,2,0.177,7.732,31.244,24.111
-123.505,48.59166667,18,2008-02-13,123,9.453,33.982,0.083,91.763,2,0.164,7.149,31.249,24.114
-123.505,48.59166667,18,2008-02-13,124,9.456,33.988,0.076,91.748,2,0.154,6.71,31.253,24.117
-123.505,48.59166667,18,2008-02-13,125,9.458,33.994,0.072,91.844,2,0.146,6.366,31.256,24.119
-123.505,48.59166667,18,2008-02-13,126,9.462,34.002,0.053,92.005,2.01,0.142,6.193,31.261,24.122
-123.505,48.59166667,18,2008-02-13,127,9.465,34.01,0.065,92.036,2,0.135,5.889,31.266,24.126
-123.505,48.59166667,18,2008-02-13,128,9.47,34.022,0.065,92.112,2.01,0.13,5.655,31.274,24.131
-123.505,48.59166667,18,2008-02-13,129,9.477,34.035,-0.007,92.365,2,0.126,5.494,31.28,24.135
-123.505,48.59166667,18,2008-02-13,130,9.48,34.041,-0.02,92.358,2.01,0.123,5.354,31.283,24.137
-123.505,48.59166667,18,2008-02-13,131,9.482,34.046,-0.009,92.417,2.01,0.121,5.277,31.286,24.139
-123.505,48.59166667,18,2008-02-13,132,9.484,34.05,0.069,92.444,2.01,0.119,5.168,31.288,24.14
-123.505,48.59166667,18,2008-02-13,133,9.483,34.052,0.083,92.517,2.01,0.117,5.085,31.291,24.142
-123.505,48.59166667,18,2008-02-13,134,9.491,34.064,0.08,92.565,2.01,0.115,4.996,31.295,24.144
-123.505,48.59166667,18,2008-02-13,135,9.495,34.07,0.055,92.633,2.02,0.112,4.903,31.297,24.145
-123.505,48.59166667,18,2008-02-13,136,9.496,34.073,-0.009,92.729,2.02,0.112,4.889,31.299,24.147
-123.505,48.59166667,18,2008-02-13,137,9.481,34.076,0.023,92.81,2,0.11,4.815,31.315,24.162
-123.505,48.59166667,18,2008-02-13,138,9.535,34.079,0.018,92.758,2,0.109,4.76,31.27,24.118
-123.505,48.59166667,18,2008-02-13,139,9.504,34.085,-0.021,92.829,2.02,0.108,4.724,31.304,24.149
-123.505,48.59166667,18,2008-02-13,140,9.505,34.088,-0.012,92.946,2.02,0.107,4.677,31.305,24.15
-123.505,48.59166667,18,2008-02-13,141,9.506,34.09,-0.018,92.976,2.02,0.106,4.634,31.306,24.151
-123.505,48.59166667,18,2008-02-13,142,9.507,34.093,-0.014,93.037,2.02,0.106,4.634,31.307,24.152
-123.505,48.59166667,18,2008-02-13,143,9.507,34.094,0.055,93.052,2.02,0.105,4.561,31.308,24.152
-123.505,48.59166667,18,2008-02-13,144,9.507,34.095,0.085,93.06,2.03,0.104,4.549,31.308,24.152
-123.505,48.59166667,18,2008-02-13,145,9.507,34.095,0.086,92.992,2.02,0.103,4.507,31.308,24.152
-123.505,48.59166667,18,2008-02-13,146,9.504,34.095,0.074,93.059,2.03,0.103,4.508,31.31,24.154
-123.505,48.59166667,18,2008-02-13,147,9.502,34.094,-0.005,92.981,2.03,0.102,4.453,31.31,24.155
-123.505,48.59166667,18,2008-02-13,148,9.497,34.09,-0.017,93.056,2.03,0.101,4.423,31.31,24.155
-123.505,48.59166667,18,2008-02-13,149,9.496,34.091,-0.02,92.988,2.03,0.1,4.379,31.312,24.157
-123.505,48.59166667,18,2008-02-13,150,9.495,34.092,-0.02,93.044,2.03,0.1,4.381,31.313,24.158
-123.505,48.59166667,18,2008-02-13,151,9.493,34.091,-0.02,93.068,2.03,0.1,4.361,31.313,24.159
-123.505,48.59166667,18,2008-02-13,152,9.49,34.089,-0.015,93.024,2.03,0.1,4.382,31.314,24.16
-123.505,48.59166667,18,2008-02-13,153,9.488,34.089,0.073,93.024,2.03,0.098,4.277,31.314,24.16
-123.505,48.59166667,18,2008-02-13,154,9.486,34.088,0.084,92.98,2.04,0.099,4.31,31.315,24.161
-123.505,48.59166667,18,2008-02-13,155,9.485,34.087,0.077,92.89,2.04,0.098,4.255,31.315,24.162
-123.505,48.59166667,18,2008-02-13,156,9.481,34.086,0.086,92.936,2.03,0.097,4.218,31.318,24.164
-123.505,48.59166667,18,2008-02-13,157,9.478,34.086,0.086,92.793,2.04,0.097,4.22,31.319,24.166
-123.505,48.59166667,18,2008-02-13,158,9.476,34.086,0.098,92.758,2.04,0.096,4.185,31.32,24.166
-123.505,48.59166667,18,2008-02-13,159,9.473,34.084,0.089,92.711,2.04,0.095,4.15,31.321,24.168
-123.505,48.59166667,18,2008-02-13,160,9.471,34.084,0,92.65,2.04,0.095,4.129,31.322,24.169
-123.505,48.59166667,18,2008-02-13,161,9.471,34.087,0.007,92.602,2.05,0.095,4.129,31.325,24.171
-123.505,48.59166667,18,2008-02-13,162,9.467,34.087,0.01,92.533,2.04,0.095,4.13,31.327,24.174
-123.505,48.59166667,18,2008-02-13,163,9.463,34.086,0.02,92.426,2.05,0.095,4.131,31.329,24.176
-123.505,48.59166667,18,2008-02-13,164,9.463,34.086,0.012,92.244,2.05,0.093,4.066,31.33,24.177
-123.505,48.59166667,18,2008-02-13,165,9.462,34.087,0.055,92.24,2.05,0.092,4.019,31.33,24.177
-123.505,48.59166667,18,2008-02-13,166,9.461,34.087,0.082,92.236,2.05,0.093,4.057,31.331,24.178
-123.505,48.59166667,18,2008-02-13,167,9.461,34.088,0.083,92.227,2.06,0.092,4.025,31.332,24.178
-123.505,48.59166667,18,2008-02-13,168,9.46,34.088,0.084,92.233,2.05,0.092,4.003,31.332,24.179
-123.505,48.59166667,18,2008-02-13,169,9.458,34.088,0.086,92.1,2.05,0.092,4.004,31.333,24.18
-123.505,48.59166667,18,2008-02-13,170,9.458,34.09,0.089,92.103,2.06,0.091,3.983,31.335,24.181
-123.505,48.59166667,18,2008-02-13,171,9.456,34.09,0.086,92.165,2.05,0.092,4.006,31.336,24.182
-123.505,48.59166667,18,2008-02-13,172,9.456,34.09,0.086,92.117,2.06,0.091,3.971,31.336,24.183
-123.505,48.59166667,18,2008-02-13,173,9.456,34.09,0.092,92.091,2.06,0.09,3.921,31.336,24.183
-123.505,48.59166667,18,2008-02-13,174,9.455,34.09,0.086,92.163,2.05,0.09,3.914,31.336,24.183
-123.505,48.59166667,18,2008-02-13,175,9.453,34.089,0.083,92.076,2.06,0.089,3.878,31.337,24.184
-123.505,48.59166667,18,2008-02-13,176,9.452,34.089,0.086,91.997,2.06,0.089,3.859,31.337,24.184
-123.505,48.59166667,18,2008-02-13,177,9.45,34.088,0.086,91.856,2.06,0.089,3.879,31.337,24.184
-123.505,48.59166667,18,2008-02-13,178,9.448,34.087,0.086,91.776,2.06,0.089,3.88,31.337,24.185
-123.505,48.59166667,18,2008-02-13,179,9.446,34.086,0.086,91.57,2.07,0.088,3.858,31.338,24.185
-123.505,48.59166667,18,2008-02-13,180,9.446,34.086,0.086,91.501,2.06,0.089,3.882,31.338,24.186
-123.505,48.59166667,18,2008-02-13,181,9.445,34.086,0.078,91.473,2.06,0.088,3.844,31.338,24.186
-123.505,48.59166667,18,2008-02-13,182,9.445,34.087,0.086,91.492,2.07,0.088,3.816,31.338,24.186
-123.505,48.59166667,18,2008-02-13,183,9.444,34.087,0.083,91.449,2.06,0.088,3.827,31.339,24.187
-123.505,48.59166667,18,2008-02-13,184,9.443,34.088,0.084,91.348,2.07,0.086,3.752,31.34,24.188
-123.505,48.59166667,18,2008-02-13,185,9.443,34.088,0.079,91.344,2.07,0.087,3.789,31.34,24.188
-123.505,48.59166667,18,2008-02-13,186,9.442,34.088,0.086,91.33,2.07,0.087,3.774,31.341,24.189
-123.505,48.59166667,18,2008-02-13,187,9.442,34.089,0.08,91.289,2.07,0.086,3.755,31.341,24.189
-123.505,48.59166667,18,2008-02-13,188,9.439,34.089,0.084,91.261,2.07,0.086,3.755,31.343,24.191
-123.505,48.59166667,18,2008-02-13,189,9.437,34.088,0.086,91.266,2.07,0.086,3.734,31.344,24.192
-123.505,48.59166667,18,2008-02-13,190,9.436,34.088,0.083,91.28,2.07,0.086,3.757,31.344,24.193
-123.505,48.59166667,18,2008-02-13,191,9.435,34.088,0.086,91.219,2.07,0.085,3.72,31.345,24.193
-123.505,48.59166667,18,2008-02-13,192,9.434,34.088,0.084,91.259,2.07,0.086,3.738,31.345,24.193
-123.505,48.59166667,18,2008-02-13,193,9.433,34.088,0.086,91.258,2.07,0.085,3.693,31.346,24.194
-123.505,48.59166667,18,2008-02-13,194,9.432,34.088,0.086,91.223,2.08,0.085,3.703,31.346,24.195
-123.505,48.59166667,18,2008-02-13,195,9.43,34.088,0.086,91.163,2.08,0.085,3.693,31.347,24.196
-123.505,48.59166667,18,2008-02-13,196,9.429,34.088,0.083,91.089,2.08,0.084,3.665,31.348,24.196
-123.505,48.59166667,18,2008-02-13,197,9.428,34.088,0.086,91.098,2.08,0.084,3.667,31.348,24.197
-123.505,48.59166667,18,2008-02-13,198,9.427,34.088,0.086,91.071,2.08,0.084,3.649,31.349,24.197
-123.505,48.59166667,18,2008-02-13,199,9.427,34.089,0.086,91.097,2.08,0.084,3.649,31.349,24.198
-123.505,48.59166667,18,2008-02-13,200,9.426,34.089,0.086,91.116,2.08,0.083,3.631,31.349,24.198
-123.505,48.59166667,18,2008-02-13,201,9.426,34.089,0.083,91.151,2.08,0.083,3.632,31.349,24.198
-123.505,48.59166667,18,2008-02-13,202,9.425,34.09,0.086,91.069,2.08,0.083,3.614,31.35,24.199
-123.505,48.59166667,18,2008-02-13,203,9.425,34.09,0.086,91.139,2.09,0.083,3.633,31.351,24.199
-123.505,48.59166667,18,2008-02-13,204,9.423,34.09,0.086,91.083,2.09,0.083,3.632,31.351,24.2
-123.505,48.59166667,18,2008-02-13,205,9.423,34.091,0.086,91.104,2.09,0.083,3.618,31.352,24.201
-123.505,48.59166667,18,2008-02-13,206,9.423,34.091,0.089,91.389,2.18,0.065,2.833,31.351,24.2
-123.505,48.59166667,19,2008-03-19,1,7.501,30.315,2.223,86.906,642.95,5.683,248.151,29.155,22.754
-123.505,48.59166667,19,2008-03-19,2,7.66,30.697,3.07,86.398,530.26,5.501,240.177,29.426,22.946
-123.505,48.59166667,19,2008-03-19,3,7.652,30.697,3.611,86.227,433.55,5.497,240.008,29.432,22.952
-123.505,48.59166667,19,2008-03-19,4,7.59,30.658,3.287,86.253,352.88,5.482,239.327,29.442,22.967
-123.505,48.59166667,19,2008-03-19,5,7.577,30.694,3.203,86.628,293.03,5.472,238.875,29.491,23.008
-123.505,48.59166667,19,2008-03-19,6,7.582,30.707,3.185,86.712,241.6,5.463,238.5,29.501,23.015
-123.505,48.59166667,19,2008-03-19,7,7.583,30.724,2.989,86.806,200.69,5.431,237.077,29.517,23.028
-123.505,48.59166667,19,2008-03-19,8,7.562,30.734,2.492,86.879,164.96,5.37,234.424,29.545,23.052
-123.505,48.59166667,19,2008-03-19,9,7.518,30.725,2.035,87.19,136.11,5.319,232.201,29.572,23.08
-123.505,48.59166667,19,2008-03-19,10,7.509,30.745,1.76,87.412,112.75,5.268,229.936,29.601,23.103
-123.505,48.59166667,19,2008-03-19,11,7.482,30.76,1.748,87.71,93.038,5.224,228.045,29.64,23.137
-123.505,48.59166667,19,2008-03-19,12,7.448,30.748,1.714,88.434,76.979,5.193,226.68,29.655,23.154
-123.505,48.59166667,19,2008-03-19,13,7.443,30.76,1.343,89.151,63.646,5.156,225.059,29.672,23.168
-123.505,48.59166667,19,2008-03-19,14,7.431,30.755,1.192,89.464,52.907,5.117,223.347,29.676,23.172
-123.505,48.59166667,19,2008-03-19,15,7.429,30.756,1.096,89.644,44.388,5.036,219.818,29.679,23.175
-123.505,48.59166667,19,2008-03-19,16,7.444,30.778,1.039,90.163,38.321,4.949,216.03,29.689,23.181
-123.505,48.59166667,19,2008-03-19,17,7.456,30.797,0.914,90.748,36.794,4.878,212.913,29.698,23.187
-123.505,48.59166667,19,2008-03-19,18,7.455,30.806,0.699,90.849,30.851,4.863,212.258,29.709,23.196
-123.505,48.59166667,19,2008-03-19,19,7.454,30.822,0.543,91.023,26.519,4.846,211.53,29.726,23.209
-123.505,48.59166667,19,2008-03-19,20,7.47,30.855,0.443,91.152,22.607,4.827,210.676,29.747,23.223
-123.505,48.59166667,19,2008-03-19,21,7.48,30.876,0.401,91.123,19.101,4.822,210.458,29.76,23.232
